variety;Comparative variety;Same
AA;BB;TRUE
AA;CC;FALSE
AA;DD;TRUE
AA;EE;TRUE
AA;FF;TRUE
AA;GG;TRUE
AA;HH;TRUE
AA;JJ;TRUE
AA;KK;TRUE
AA;KL;TRUE
BB;AA;TRUE
BB;CC;FALSE
BB;DD;TRUE
BB;EE;TRUE
BB;FF;TRUE
BB;GG;TRUE
BB;HH;TRUE
BB;JJ;TRUE
BB;KK;TRUE
BB;KL;TRUE
CC;AA;FALSE
CC;BB;FALSE
CC;DD;FALSE
CC;EE;FALSE
CC;FF;FALSE
CC;GG;FALSE
CC;HH;FALSE
CC;JJ;FALSE
CC;KK;FALSE
CC;KL;FALSE
DD;AA;TRUE
DD;BB;TRUE
DD;CC;FALSE
DD;EE;TRUE
DD;FF;TRUE
DD;GG;TRUE
DD;HH;TRUE
DD;JJ;TRUE
DD;KK;TRUE
DD;KL;TRUE
EE;AA;TRUE
EE;BB;TRUE
EE;CC;FALSE
EE;DD;TRUE
EE;FF;TRUE
EE;GG;TRUE
EE;HH;TRUE
EE;JJ;TRUE
EE;KK;TRUE
EE;KL;TRUE
FF;AA;TRUE
FF;BB;TRUE
FF;CC;FALSE
FF;DD;TRUE
FF;EE;TRUE
FF;GG;TRUE
FF;HH;TRUE
FF;JJ;TRUE
FF;KK;TRUE
FF;KL;TRUE
GG;AA;TRUE
GG;BB;TRUE
GG;CC;FALSE
GG;DD;TRUE
GG;EE;TRUE
GG;FF;TRUE
GG;HH;TRUE
GG;JJ;TRUE
GG;KK;TRUE
GG;KL;TRUE
HH;AA;TRUE
HH;BB;TRUE
HH;CC;FALSE
HH;DD;TRUE
HH;EE;TRUE
HH;FF;TRUE
HH;GG;TRUE
HH;JJ;TRUE
HH;KK;TRUE
HH;KL;TRUE
JJ;AA;TRUE
JJ;BB;TRUE
JJ;CC;FALSE
JJ;DD;TRUE
JJ;EE;TRUE
JJ;FF;TRUE
JJ;GG;TRUE
JJ;HH;TRUE
JJ;KK;TRUE
JJ;KL;TRUE
KK;AA;TRUE
KK;BB;TRUE
KK;CC;FALSE
KK;DD;TRUE
KK;EE;TRUE
KK;FF;TRUE
KK;GG;TRUE
KK;HH;TRUE
KK;JJ;TRUE
KK;KL;TRUE
KL;AA;TRUE
KL;BB;TRUE
KL;CC;FALSE
KL;DD;TRUE
KL;EE;TRUE
KL;FF;TRUE
KL;GG;TRUE
KL;HH;TRUE
KL;JJ;TRUE
KL;KK;TRUE
KL;NA;TRUE
