Which of the following best describes you?,Others Specify_Which of the following best describes you?,responsible research Practices_q1,na_responsible research Practices_q1,responsible research Practices_q2,na_responsible research Practices_q2,responsible research Practices_q3,na_responsible research Practices_q3,responsible research Practices_q4,na_responsible research Practices_q4,responsible research Practices_q5,na_responsible research Practices_q5,responsible research Practices_q6,na_responsible research Practices_q6,responsible research Practices_q7,na_responsible research Practices_q7,responsible research Practices_q8,na_responsible research Practices_q8,responsible research Practices_q9,na_responsible research Practices_q9,responsible research Practices_q10,na_responsible research Practices_q10,responsible research Practices_q11,na_responsible research Practices_q11,responsible research Practices_q12,na_responsible research Practices_q12,responsible research Practices_q13,na_responsible research Practices_q13,responsible research Practices_q14,na_responsible research Practices_q14,responsible research Practices_q15,na_responsible research Practices_q15,responsible research Practices_q16,na_responsible research Practices_q16,responsible research Practices_q17,na_responsible research Practices_q17,responsible research Practices_q18,na_responsible research Practices_q18,responsible research Practices_q19,na_responsible research Practices_q19,responsible research Practices_q20,na_responsible research Practices_q20,fair research practices_q1,na_fair research practices_q1,fair research practices_q2,na_fair research practices_q2,fair research practices_q3,na_fair research practices_q3,fair research practices_q4,na_fair research practices_q4,fair research practices_q5,na_fair research practices_q5,fair research practices_q6,na_fair research practices_q6,fair research practices_q7,na_fair research practices_q7,fair research practices_q8,na_fair research practices_q8,fair research practices_q9,na_fair research practices_q9,fair research practices_q10,na_fair research practices_q10,fair research practices_q11,na_fair research practices_q11,fair research practices_q12,na_fair research practices_q12,fair research practices_q13,na_fair research practices_q13,fair research practices_q14,na_fair research practices_q14,fair research practices_q15,na_fair research practices_q15,fair research practices_q16,na_fair research practices_q16,fair research practices_q17,na_fair research practices_q17,fair research practices_q18,na_fair research practices_q18,fair research practices_q19,na_fair research practices_q19,fair research practices_q20,na_fair research practices_q20,Which country are you from?,other_Which country are you from?,What discipline of global health based describes you:,other_What discipline of global health based describes you:,What is you gender?,other_gender,How many years of involvement in research do you have?,What is your highest academic rank?,other_What is your highest academic rank?,How best do you describe your current role?,other_How best do you describe your current role?,May we contact you for a follow-up interview?,You may leave your email address here:
Researcher from the Global South,,Never,,N/A,,Occasionally,,Rarely,,Rarely,,Frequently,,Occasionally,,Very Rarely,,Very Frequently,,Frequently,,Never,,Always,,Frequently,,Always,,Very Rarely,,Never,,Frequently,,Very Rarely,,Very Rarely,,Always,,Very Frequently,,Occasionally,,Always,,Occasionally,,Frequently,,Occasionally,,Frequently,,Always,,Always,,Never,,Frequently,,Frequently,,Very Rarely,,Never,,Very Rarely,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Always,,Sub-Saharan Africa,Stellenbosch University,Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
Researcher from the Global South,,Never,,Always,,Always,,Very Rarely,,Never,,Always,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Very Frequently,,Always,,Never,,Always,,Rarely,,Always,,Never,,Always,,Very Rarely,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Frequently,,Frequently,,Frequently,,Frequently,,Always,,Always,,Always,,North America,Harvard T H School of Public Health,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Postdoc or Assistant Professor,,Researcher,,Yes,
Researcher from the Global North,,Never,,Very Rarely,only once when when we noticed an error,Rarely,,Rarely,,Very Rarely,,Very Frequently,,Occasionally,,Rarely,,Occasionally,,Occasionally,,Very Rarely,,Very Frequently,,Always,,Always,,Never,,Very Frequently,,Occasionally,,Rarely,,Very Rarely,,Always,,Rarely,,Rarely,,Always,,Always,,Very Frequently,,Always,,Very Frequently,,Always,,Always,,Never,,Very Frequently,,Very Rarely,,Never,,Occasionally,,Occasionally,,Occasionally,,Occasionally,,Always,,Always,,Occasionally,,Europe and Central Asia,"Global Health Institute, University of Antwerp",Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,Yes,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Very Frequently,,Always,,Never,,Always,,N/A,,Never,,Never,,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,N/A,this situation did not occur,Never,,Never,,Rarely,,Always,,Never,,Never,,Frequently,,Never,,Never,,Always,,Always,,Always,,Never,,Always,,Always,,Never,,Never,,Always,,N/A,,Never,,N/A,,Always,,N/A,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Frequently,,Always,,Very Frequently,,Very Frequently,,Always,,Always,,N/A,,Europe and Central Asia,Swiss TPH,Biostatistics/Epidemiology,,Male,,Established (>10 years post-education),Postdoc or Assistant Professor,,Other (please specify),Scientific coordinator and researcher,Yes,
Researcher from the Global North,,Never,,N/A,,N/A,,Never,,Never,,N/A,,Never,,Never,,N/A,,Never,,Never,,Always,,Always,,Always,,Never,,Always,,Always,,N/A,I don't think of any flaws in my studies,Never,,Always,,N/A,,N/A,,Always,,Always,,Always,,Always,,Always,,Always,,Prefer not to respond,,Never,,Prefer not to respond,,Never,,Never,,N/A,,Prefer not to respond,,Very Frequently,,N/A,,Very Frequently,,N/A,,Occasionally,,Europe and Central Asia,Imperial College London,Biostatistics/Epidemiology,,Male,,Early Career (< 3 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global South,,Never,,Occasionally,,Never,,Never,,Never,,Very Frequently,,Very Rarely,,Never,,N/A,can't understand the question ,Never,,Never,,Always,,Occasionally,,Always,,Never,,N/A,what do you mean by open science platform,N/A,,Always,,Never,,Always,,Never,,Occasionally,,Occasionally,,Always,,Always,,Always,,Always,,Always,,Always,,Very Rarely,,Always,,Never,,Never,,Always,,Very Frequently,,Very Frequently,,Occasionally,,Always,,Always,,Frequently,,Middle East and North Africa,University of Khartoum ,Biology/Medicine,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global South,,Never,,N/A,did not need to make corrections but would have if needed,Never,,Never,,Never,,Always,,Never,,Never,,Rarely,study design was flexible and iterative so did not feel need to publish protocol,Never,,Never,,Always,,Very Frequently,,Always,,Never,,Frequently,,Very Frequently,,Never,,Never,,Always,,Occasionally,,Very Frequently,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Occasionally,,Very Frequently,,Never,,Never,,Occasionally,,Very Rarely,,Rarely,,Never,,Very Frequently,,Frequently,,Occasionally,,South Asia,IPH BENGALURU,Other (please specify),EPI AND SOCIAL SCIENCES -MIXED METHODS,Female,,Mid-career (3-10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
,,N/A,,N/A,,Never,,Very Rarely,,Never,,Always,,Never,,Never,,N/A,,Never,,Never,,Always,,N/A,,Always,,N/A,,Always,,N/A,,Never,,Very Rarely,,Always,,Never,,Very Rarely,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Very Rarely,,Very Frequently,,Very Frequently,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Sub-Saharan Africa,,Other (please specify),public health,Female,,Prefer not to disclose,Bachelor or Master degree,,Other (please specify),Research Assistant,No,
